,ms,temperature,humidity,altitude,oxygen,uv_idx,eulerx,eulery,eulerz,accelx,accely,accelz
24,29544,14.140000343322754,56.16015625,184.3673095703125,20.184696197509766,9.0,0.5625,-0.875,93.625,0.029999999329447746,1.0950000286102295,0.3774999976158142
25,30544,14.140000343322754,56.126953125,184.4439239501953,20.191190719604492,9.0,0.5625,-0.875,93.625,0.03999999910593033,1.1150000095367432,0.35749998688697815
26,31544,14.140000343322754,56.0947265625,184.51263427734375,20.191190719604492,9.0,0.5625,-0.875,93.625,0.029999999329447746,1.0950000286102295,0.3774999976158142
27,32544,14.130000114440918,56.060546875,184.48092651367188,20.191190719604492,8.0,0.5625,-0.875,93.625,0.05000000074505806,1.1349999904632568,0.3474999964237213
28,33544,14.130000114440918,56.0390625,184.54434204101562,20.191190719604492,4.0,0.875,-0.5625,93.6875,0.4399999976158142,1.0850000381469727,0.03749999403953552
29,34544,14.130000114440918,56.0390625,184.2880401611328,20.184696197509766,4.0,0.8125,-0.625,93.375,1.090000033378601,0.875,1.40749990940094
30,35544,14.149999618530273,56.0185546875,184.51791381835938,20.178199768066406,4.0,1.5625,-0.375,93.5,0.3400000035762787,0.8350000381469727,0.7574999928474426
31,36544,14.15999984741211,55.98828125,184.70286560058594,20.184696197509766,4.0,1.5,-0.3125,93.8125,0.019999999552965164,1.1549999713897705,0.32749998569488525
32,37544,14.180000305175781,56.0341796875,184.46243286132812,20.19768714904785,4.0,1.625,-0.0625,93.875,-0.25,1.6449999809265137,-0.6024999618530273
33,38544,14.180000305175781,56.1103515625,184.4439239501953,20.25615119934082,4.0,1.9375,0.25,93.375,1.9299999475479126,1.1050000190734863,0.8075000047683716
34,39544,14.180000305175781,56.142578125,184.53904724121094,20.31461524963379,4.0,1.9375,0.1875,93.1875,0.4699999988079071,0.9850000143051147,0.3675000071525574
35,40544,14.180000305175781,56.1865234375,184.46243286132812,20.31461524963379,4.0,1.5625,-0.1875,93.375,-0.23999999463558197,1.5549999475479126,-1.1924999952316284
36,41544,14.180000305175781,56.197265625,184.44921875,20.327608108520508,4.0,0.0,-2.3125,92.6875,0.07999999821186066,1.1549999713897705,-0.08250001072883606
37,42544,14.180000305175781,56.1865234375,184.3937225341797,20.32111167907715,4.0,1.1875,-1.125,92.0,-0.009999999776482582,1.065000057220459,0.8774999380111694
38,43544,14.170000076293945,56.1650390625,184.3567352294922,20.26914405822754,4.0,0.5625,-1.75,92.3125,0.05000000074505806,1.1449999809265137,0.3075000047683716
