,seconds,dispx,dispy,dispz,temperature,humidity,pressure,oxygen,uv_idx,eulerx,eulery,eulerz,accelx,accely,accelz
10,11.011,-0.0801600782082826,0.11272510998039742,-18.852648924593378,21.450000762939453,51.6142578125,100718.296875,20.58582305908203,0,0.0,0.1875,-0.75,0.0,-0.009999999776482582,-0.3799999952316284
11,12.012,-0.0951900928723356,0.13527013197647694,-22.803037877246446,21.440000534057617,51.603515625,100715.578125,20.579326629638672,0,0.0,0.1875,-0.75,-0.019999999552965164,0.0,-0.38999998569488525
12,13.014,-0.12278016225564944,0.157840181471997,-27.14121191023323,21.440000534057617,51.6142578125,100713.515625,20.5744571685791,0,0.0,0.1875,-0.75,-0.009999999776482582,0.009999999776482582,-0.3700000047683716
13,14.015,-0.16287521635945518,0.18790521579999114,-31.85851200101328,21.440000534057617,51.6142578125,100716.734375,20.580951690673828,0,0.0,0.1875,-0.75,-0.009999999776482582,0.009999999776482582,-0.4000000059604645
14,15.016,-0.2079802753512785,0.22799025990402055,-36.96408748227952,21.440000534057617,51.6142578125,100715.40625,20.5744571685791,0,0.0,0.1875,-0.75,0.009999999776482582,0.009999999776482582,-0.3799999952316284
15,16.017,-0.2580953392311195,0.27308530889606764,-42.45042334623333,21.440000534057617,51.6142578125,100714.34375,20.580951690673828,0,0.0,0.1875,-0.75,-0.029999999329447746,-0.009999999776482582,-0.36000001430511475
16,17.018,-0.32324041777501356,0.31567535544410597,-48.30248958474297,21.440000534057617,51.6142578125,100716.171875,20.587448120117188,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.36000001430511475
17,18.019,-0.40341551098296036,0.3557603995481353,-54.51778119769738,21.450000762939453,51.6259765625,100715.96875,20.593944549560547,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.3700000047683716
18,19.02,-0.49110561152293397,0.393340441208156,-61.106318185540765,21.440000534057617,51.63671875,100714.1796875,20.587448120117188,0,0.0,0.1875,-0.75,0.0,-0.009999999776482582,-0.38999998569488525
19,20.021,-0.5838057169509252,0.4209004730921413,-68.07561554860624,21.440000534057617,51.6474609375,100713.6796875,20.587448120117188,0,0.0,0.1875,-0.75,-0.009999999776482582,-0.019999999552965164,-0.3700000047683716
