Altitude,Temperature
6544,-27.66
6552,-27.72
6560,-27.78
6568,-27.84
6576,-27.9
6584,-27.96
6592,-28.02
6600,-28.08
6608,-28.14
6616,-28.2
6624,-28.26
6632,-28.32
6640,-28.38
6648,-28.44
6656,-28.5
6664,-28.56
6672,-28.62
6680,-28.68
6688,-28.74
6696,-28.8
6704,-28.86
6712,-28.92
6720,-28.98
6728,-29.04
6736,-29.1
6744,-29.16
6752,-29.22
6760,-29.28
6768,-29.34
6776,-29.4
6784,-29.46
6792,-29.52
6800,-29.58
6808,-29.64
6816,-29.7
6824,-29.76
6832,-29.82
6840,-29.88
6848,-29.94
6856,-30
6864,-30.06
6872,-30.12
6880,-30.18
6888,-30.24
6896,-30.3
6904,-30.36
6912,-30.42
6920,-30.48
6928,-30.54
6936,-30.6
6944,-30.66
6952,-30.72
6960,-30.78
6968,-30.84
6976,-30.9
6984,-30.96
6992,-31.02
7000,-31.08
7008,-31.14
7016,-31.2
7024,-31.26
7032,-31.32
7040,-31.38
7048,-31.44
7056,-31.5
7064,-31.56
7072,-31.62
7080,-31.68
7088,-31.74
7096,-31.8
7104,-31.86
7112,-31.92
7120,-31.98
7128,-32.04
7136,-32.1
7144,-32.16
7152,-32.22
7160,-32.28
7168,-32.34
7176,-32.4
7184,-32.46
7192,-32.52
7200,-32.58
7208,-32.64
7216,-32.7
7224,-32.76
7232,-32.82
7240,-32.88
7248,-32.94
7256,-33
7264,-33.06
7272,-33.12
7280,-33.18
7288,-33.24
7296,-33.3
7304,-33.36
7312,-33.42
7320,-33.48
7328,-33.54
7336,-33.6
7344,-33.66
7352,-33.72
7360,-33.78
7368,-33.84
7376,-33.9
7384,-33.96
7392,-34.02
7400,-34.08
7408,-34.14
7416,-34.2
7424,-34.26
7432,-34.32
7440,-34.38
7448,-34.44
7456,-34.5
7464,-34.56
7472,-34.62
7480,-34.68
7488,-34.74
7496,-34.8
7504,-34.86
7512,-34.92
7520,-34.98
7528,-35.04
7536,-35.1
7544,-35.16
7552,-35.22
7560,-35.28
7568,-35.34
7576,-35.4
7584,-35.46
7592,-35.52
7600,-35.58
7608,-35.64
7616,-35.7
7624,-35.76
7632,-35.82
7640,-35.88
7648,-35.94
7656,-36
7664,-36.06
7672,-36.12
7680,-36.18
7688,-36.24
7696,-36.3
7704,-36.36
7712,-36.42
7720,-36.48
7728,-36.54
7736,-36.6
7744,-36.66
7752,-36.72
7760,-36.78
7768,-36.84
7776,-36.9
7784,-36.96
7792,-37.02
7800,-37.08
7808,-37.14
7816,-37.2
7824,-37.26
7832,-37.32
7840,-37.38
7848,-37.44
7856,-37.5
7864,-37.56
7872,-37.62
7880,-37.68
7888,-37.74
7896,-37.8
7904,-37.86
7912,-37.92
7920,-37.98
7928,-38.04
7936,-38.1
7944,-38.16
7952,-38.22
7960,-38.28
7968,-38.34
7976,-38.4
7984,-38.46
7992,-38.52
8000,-38.58
8008,-38.64
8016,-38.7
8024,-38.76
8032,-38.82
8040,-38.88
8048,-38.94
8056,-39
8064,-39.06
8072,-39.12
8080,-39.18
8088,-39.24
8096,-39.3
8104,-39.36
8112,-39.42
8120,-39.48
8128,-39.54
8136,-39.6
8144,-39.66
8152,-39.72
8160,-39.78
8168,-39.84
8176,-39.9
8184,-39.96
8192,-40.02
8200,-40.08
8208,-40.14
8216,-40.2
8224,-40.26
8232,-40.32
8240,-40.38
8248,-40.44
8256,-40.5
8264,-40.56
8272,-40.62
8280,-40.68
8288,-40.74
8296,-40.8
8304,-40.86
8312,-40.92
8320,-40.98
8328,-41.04
8336,-41.1
8344,-41.16
8352,-41.22
8360,-41.28
8368,-41.34
8376,-41.4
8384,-41.46
8392,-41.52
8400,-41.58
8408,-41.64
8416,-41.7
8424,-41.76
8432,-41.82
8440,-41.88
8448,-41.94
8456,-42
8464,-42.06
8472,-42.12
8480,-42.18
8488,-42.24
8496,-42.3
8504,-42.36
8512,-42.42
8520,-42.48
8528,-42.54
8536,-42.6
8544,-42.66
8552,-42.72
8560,-42.78
8568,-42.84
8576,-42.9
8584,-42.96
8592,-43.02
8600,-43.08
8608,-43.14
8616,-43.2
8624,-43.26
8632,-43.32
8640,-43.38
8648,-43.44
8656,-43.5
8664,-43.56
8672,-43.62
8680,-43.68
8688,-43.74
8696,-43.8
8704,-43.86
8712,-43.92
8720,-43.98
8728,-44.04
8736,-44.1
8744,-44.16
8752,-44.22
8760,-44.28
8768,-44.34
8776,-44.4
8784,-44.46
8792,-44.52
8800,-44.58
8808,-44.64
8816,-44.7
8824,-44.76
8832,-44.82
8840,-44.88
8848,-44.94
8856,-45
8864,-45.06
8872,-45.12
8880,-45.18
8888,-45.24
8896,-45.3
8904,-45.36
8912,-45.42
8920,-45.48
8928,-45.54
8936,-45.6
8944,-45.66
8952,-45.72
8960,-45.78
8968,-45.84
8976,-45.9
8984,-45.96
8992,-46.02
9000,-46.08
9008,-46.14
9016,-46.2
9024,-46.26
9032,-46.32
9040,-46.38
9048,-46.44
9056,-46.5
9064,-46.56
9072,-46.62
9080,-46.68
9088,-46.74
9096,-46.8
9104,-46.86
9112,-46.92
9120,-46.98
9128,-47.04
9136,-47.1
9144,-47.16
9152,-47.22
9160,-47.28
9168,-47.34
9176,-47.4
9184,-47.46
9192,-47.52
9200,-47.58
9208,-47.64
9216,-47.7
9224,-47.76
9232,-47.82
9240,-47.88
9248,-47.94
9256,-48
9264,-48.06
9272,-48.12
9280,-48.18
9288,-48.24
9296,-48.3
9304,-48.36
9312,-48.42
9320,-48.48
9328,-48.54
9336,-48.6
9344,-48.66
9352,-48.72
9360,-48.78
9368,-48.84
9376,-48.9
9384,-48.96
9392,-49.02
9400,-49.08
9408,-49.14
9416,-49.2
9424,-49.26
9432,-49.32
9440,-49.38
9448,-49.44
9456,-49.5
9464,-49.56
9472,-49.62
9480,-49.68
9488,-49.74
9496,-49.8
9504,-49.86
9512,-49.92
9520,-49.98
9528,-50.04
9536,-50.1
9544,-50.16
9552,-50.22
9560,-50.28
9568,-50.34
9576,-50.4
9584,-50.46
9592,-50.52
9600,-50.58
9608,-50.64
9616,-50.7
9624,-50.76
9632,-50.82
9640,-50.88
9648,-50.94
9656,-51
9664,-51.06
9672,-51.12
9680,-51.18
9688,-51.24
9696,-51.3
9704,-51.36
9712,-51.42
9720,-51.48
9728,-51.54
9736,-51.6
9744,-51.66
9752,-51.72
9760,-51.78
9768,-51.84
